color-count,goods-title-link--jump,goods-title-link--jump href,rank-title,rank-sub,price,discount,selling_proposition,goods-title-link,product_title
6.0,Teen Girl Flap Pocket Denim Skirt,https://us.shein.com/Teen-Girl-Flap-Pocket-Denim-Skirt-p-20890864.html?src_identifier=fc%3DKids%60sc%3DKids%60tc%3D0%60oc%3D0%60ps%3Dtab05navbar05%60jc%3DitemPicking_017185550&src_module=topcat&src_tab_page_id=page_select_class1718911041796&mallCode=1&pageListType=2,#1 Best Sellers,in Teen Girls Denim Skirts,,,,<NA>,Teen Girl Flap Pocket Denim Skirt
,2pcs/Set Kids' Summer New Pure Color Sleeveless Basketball Pattern Printed Vest Shorts Sports Set For Young Boys,https://us.shein.com/2pcs-Set-Kids-Summer-New-Pure-Color-Sleeveless-Basketball-Pattern-Printed-Vest-Shorts-Sports-Set-For-Young-Boys-p-29362139.html?src_identifier=fc%3DKids%60sc%3DKids%60tc%3D0%60oc%3D0%60ps%3Dtab05navbar05%60jc%3DitemPicking_017185550&src_module=topcat&src_tab_page_id=page_select_class1718911041796&mallCode=1&pageListType=2,,,,,800+ sold recently,<NA>,2pcs/Set Kids' Summer New Pure Color Sleeveless Basketball Pattern Printed Vest Shorts Sports Set For Young Boys
4.0,30pcs Girls Random Color Butterfly Design Hair Claw For Hair Decoration,https://us.shein.com/30pcs-Girls-Random-Color-Butterfly-Design-Hair-Claw-For-Hair-Decoration-p-17516481.html?src_identifier=fc%3DKids%60sc%3DKids%60tc%3D0%60oc%3D0%60ps%3Dtab05navbar05%60jc%3DitemPicking_017185550&src_module=topcat&src_tab_page_id=page_select_class1718911041796&mallCode=1&pageListType=2,#1 Best Sellers,in Kids Accessories,,,,<NA>,30pcs Girls Random Color Butterfly Design Hair Claw For Hair Decoration
,"SHEIN Tween Girls' Casual Straight Fit Knee-Length, Soft Washed Denim Shorts",https://us.shein.com/SHEIN-Tween-Girls-Casual-Straight-Fit-Knee-Length-Soft-Washed-Denim-Shorts-p-29513195.html?src_identifier=fc%3DKids%60sc%3DKids%60tc%3D0%60oc%3D0%60ps%3Dtab05navbar05%60jc%3DitemPicking_017185550&src_module=topcat&src_tab_page_id=page_select_class1718911041796&mallCode=1&pageListType=2,#5 Best Sellers,in Tween Girls Denim Shorts,,,,<NA>,"SHEIN Tween Girls' Casual Straight Fit Knee-Length, Soft Washed Denim Shorts"
6.0,Young Girl 3pcs/Set Fashionable Cute Cartoon Printed Short Sleeve T-Shirt And Leggings,https://us.shein.com/Young-Girl-3pcs-Set-Fashionable-Cute-Cartoon-Printed-Short-Sleeve-T-Shirt-And-Leggings-p-31862244.html?src_identifier=fc%3DKids%60sc%3DKids%60tc%3D0%60oc%3D0%60ps%3Dtab05navbar05%60jc%3DitemPicking_017185550&src_module=topcat&src_tab_page_id=page_select_class1718911041796&mallCode=1&pageListType=2,#1 Best Sellers,in Young Girls Clothing,,,,<NA>,Young Girl 3pcs/Set Fashionable Cute Cartoon Printed Short Sleeve T-Shirt And Leggings
5.0,Tween Girls' Casual Simple Cartoon Graphic Short Sleeve T-Shirt Suitable For Summer,https://us.shein.com/Tween-Girls-Casual-Simple-Cartoon-Graphic-Short-Sleeve-T-Shirt-Suitable-For-Summer-p-28282093.html?src_identifier=fc%3DKids%60sc%3DKids%60tc%3D0%60oc%3D0%60ps%3Dtab05navbar05%60jc%3DitemPicking_017185550&src_module=topcat&src_tab_page_id=page_select_class1718911041796&mallCode=1&pageListType=2,,,,,2.1k+ sold recently,<NA>,Tween Girls' Casual Simple Cartoon Graphic Short Sleeve T-Shirt Suitable For Summer
4.0,"1pc Children's Personality Cool Sunglasses For Boys And Girls, Anti-Uv, Stylish Summer Sunshade Sunglasses",https://us.shein.com/1pc-Children-s-Personality-Cool-Sunglasses-For-Boys-And-Girls-Anti-Uv-Stylish-Summer-Sunshade-Sunglasses-p-30669974.html?src_identifier=fc%3DKids%60sc%3DKids%60tc%3D0%60oc%3D0%60ps%3Dtab05navbar05%60jc%3DitemPicking_017185550&src_module=topcat&src_tab_page_id=page_select_class1718911041796&mallCode=1&pageListType=2,,,,,300+ sold recently,<NA>,"1pc Children's Personality Cool Sunglasses For Boys And Girls, Anti-Uv, Stylish Summer Sunshade Sunglasses"
7.0,"SHEIN Genkimix Kids Tween Girl 6pcs/Set Casual Sport T-Shirt And Sweatpants Outfits, Multicolor",https://us.shein.com/SHEIN-Genkimix-Kids-Tween-Girl-6pcs-Set-Casual-Sport-T-Shirt-And-Sweatpants-Outfits-Multicolor-p-26615280.html?src_identifier=fc%3DKids%60sc%3DKids%60tc%3D0%60oc%3D0%60ps%3Dtab05navbar05%60jc%3DitemPicking_017185550&src_module=topcat&src_tab_page_id=page_select_class1718911041796&mallCode=1&pageListType=2,,,,,3.1k+ sold recently,<NA>,"SHEIN Genkimix Kids Tween Girl 6pcs/Set Casual Sport T-Shirt And Sweatpants Outfits, Multicolor"
,"2pcs/Set Girls' Sweet & Elegant Sleeveless Top And Lightweight Trousers, Summer",https://us.shein.com/2pcs-Set-Girls-Sweet-Elegant-Sleeveless-Top-And-Lightweight-Trousers-Summer-p-36052510.html?src_identifier=fc%3DKids%60sc%3DKids%60tc%3D0%60oc%3D0%60ps%3Dtab05navbar05%60jc%3DitemPicking_017185550&src_module=topcat&src_tab_page_id=page_select_class1718911041796&mallCode=1&pageListType=2,,,,,,<NA>,"2pcs/Set Girls' Sweet & Elegant Sleeveless Top And Lightweight Trousers, Summer"
6.0,"Tween Girl Knit Solid Color Loose Fit Short Sleeve Top And Shorts, Casual Outfit Set",https://us.shein.com/Tween-Girl-Knit-Solid-Color-Loose-Fit-Short-Sleeve-Top-And-Shorts-Casual-Outfit-Set-p-34341314.html?src_identifier=fc%3DKids%60sc%3DKids%60tc%3D0%60oc%3D0%60ps%3Dtab05navbar05%60jc%3DitemPicking_017185550&src_module=topcat&src_tab_page_id=page_select_class1718911041796&mallCode=1&pageListType=2,#6 Best Sellers,in Tween Girls Sets,,,,<NA>,"Tween Girl Knit Solid Color Loose Fit Short Sleeve Top And Shorts, Casual Outfit Set"
4.0,Young Girl's Floral Print Halter Top And Multi-Layer Ruffled Hem Skirt Set With Hat,https://us.shein.com/Young-Girl-s-Floral-Print-Halter-Top-And-Multi-Layer-Ruffled-Hem-Skirt-Set-With-Hat-p-29852820.html?src_identifier=fc%3DKids%60sc%3DKids%60tc%3D0%60oc%3D0%60ps%3Dtab05navbar05%60jc%3DitemPicking_017185550&src_module=topcat&src_tab_page_id=page_select_class1718911041796&mallCode=1&pageListType=2,,,,,2.7k+ sold recently,<NA>,Young Girl's Floral Print Halter Top And Multi-Layer Ruffled Hem Skirt Set With Hat
7.0,SHEIN Tween Girl Spring/Summer Casual Solid Round Neck Ribbed Tank Top,https://us.shein.com/SHEIN-Tween-Girl-Spring-Summer-Casual-Solid-Round-Neck-Ribbed-Tank-Top-p-33104298.html?src_identifier=fc%3DKids%60sc%3DKids%60tc%3D0%60oc%3D0%60ps%3Dtab05navbar05%60jc%3DitemPicking_017185550&src_module=topcat&src_tab_page_id=page_select_class1718911041796&mallCode=1&pageListType=2,#1 Best Sellers,in Tween Girls Tank Tops & Camis,,,,<NA>,SHEIN Tween Girl Spring/Summer Casual Solid Round Neck Ribbed Tank Top
,"Casual Cartoon Printed Multi-Piece T-Shirt Set For Tween Girls, Suitable For Summer",https://us.shein.com/Casual-Cartoon-Printed-Multi-Piece-T-Shirt-Set-For-Tween-Girls-Suitable-For-Summer-p-36152443.html?src_identifier=fc%3DKids%60sc%3DKids%60tc%3D0%60oc%3D0%60ps%3Dtab05navbar05%60jc%3DitemPicking_017185550&src_module=topcat&src_tab_page_id=page_select_class1718911041796&mallCode=1&pageListType=2,,,,,600+ sold recently,<NA>,"Casual Cartoon Printed Multi-Piece T-Shirt Set For Tween Girls, Suitable For Summer"
,"Multi-Pack (5pcs) Solid Color Wide-Mesh Knitted Loose Sports Shorts For Tween Boys, One In Each Color",https://us.shein.com/Multi-Pack-5pcs-Solid-Color-Wide-Mesh-Knitted-Loose-Sports-Shorts-For-Tween-Boys-One-In-Each-Color-p-33794860.html?src_identifier=fc%3DKids%60sc%3DKids%60tc%3D0%60oc%3D0%60ps%3Dtab05navbar05%60jc%3DitemPicking_017185550&src_module=topcat&src_tab_page_id=page_select_class1718911041796&mallCode=1&pageListType=2,,,,,1.9k+ sold recently,<NA>,"Multi-Pack (5pcs) Solid Color Wide-Mesh Knitted Loose Sports Shorts For Tween Boys, One In Each Color"
4.0,"SHEIN Tween Girl Flower Patchwork Pleated Back Tie Waist Cami Dress, Summer",https://us.shein.com/SHEIN-Tween-Girl-Flower-Patchwork-Pleated-Back-Tie-Waist-Cami-Dress-Summer-p-15588145.html?src_identifier=fc%3DKids%60sc%3DKids%60tc%3D0%60oc%3D0%60ps%3Dtab05navbar05%60jc%3DitemPicking_017185550&src_module=topcat&src_tab_page_id=page_select_class1718911041796&mallCode=1&pageListType=2,#2 Best Sellers,in Tween Girls Dresses,,,,<NA>,"SHEIN Tween Girl Flower Patchwork Pleated Back Tie Waist Cami Dress, Summer"
