color-count,goods-title-link--jump,goods-title-link--jump href,rank-title,rank-sub,price,discount,selling_proposition,goods-title-link,product_title
4.0,SHEIN VCAY Plus Tropical Print Paper Bag Waist Belted Tank Romper,https://us.shein.com/SHEIN-VCAY-Plus-Tropical-Print-Paper-Bag-Waist-Belted-Tank-Romper-p-10792603.html?src_identifier=fc%3DCurve%60sc%3DCurve%60tc%3D0%60oc%3D0%60ps%3Dtab06navbar06%60jc%3DitemPicking_017172964&src_module=topcat&src_tab_page_id=page_select_class1718911097153&mallCode=1&pageListType=2,#3 Best Seller,In Boho Plus Size Jumpsuits,,,,<NA>,SHEIN VCAY Plus Tropical Print Paper Bag Waist Belted Tank Romper
,SHEIN EZwear Plus Size Women's Jeans With Pockets And Distressed Holes,https://us.shein.com/SHEIN-EZwear-Plus-Size-Women-s-Jeans-With-Pockets-And-Distressed-Holes-p-31693049.html?src_identifier=fc%3DCurve%60sc%3DCurve%60tc%3D0%60oc%3D0%60ps%3Dtab06navbar06%60jc%3DitemPicking_017172964&src_module=topcat&src_tab_page_id=page_select_class1718911097153&mallCode=1&pageListType=2,#2 Best Sellers,in Plus Size Jeans,,,,<NA>,SHEIN EZwear Plus Size Women's Jeans With Pockets And Distressed Holes
5.0,<NA>,<NA>,,,,,2.4k+ sold recently,SHEIN SXY Plus Size Mid-Rise Black And Grey Stretch Denim Shorts With Irregular Hem,SHEIN SXY Plus Size Mid-Rise Black And Grey Stretch Denim Shorts With Irregular Hem
29.0,<NA>,<NA>,,,,,4.5k+ sold recently,SHEIN Clasi Plus Ruffle Trim Petal Sleeve Blouse,SHEIN Clasi Plus Ruffle Trim Petal Sleeve Blouse
5.0,<NA>,<NA>,,,,,1.2k+ sold recently,SHEIN EZwear Plus Cut Out Ribbed Knit Top,SHEIN EZwear Plus Cut Out Ribbed Knit Top
13.0,<NA>,<NA>,#7 Best Seller,In Short Sleeve Women Plus Clothing,,,,SHEIN Essnce Plus Size Striped Shirt And Shorts Set,SHEIN Essnce Plus Size Striped Shirt And Shorts Set
,<NA>,<NA>,,,,,1.3k+ sold recently,SHEIN EZwear Plus Size Knit Texture T-Shirt And Long Pants With Casual Pleats Cord Set,SHEIN EZwear Plus Size Knit Texture T-Shirt And Long Pants With Casual Pleats Cord Set
,<NA>,<NA>,,,,,5.1k+ sold recently,SHEIN Slayr Slayr Plus Size Casual Solid Color Drawstring Split Women Two-Piece Summer Outfit Set,SHEIN Slayr Slayr Plus Size Casual Solid Color Drawstring Split Women Two-Piece Summer Outfit Set
,<NA>,<NA>,,,,,2.0k+ sold recently,SHEIN EZwear Plus Drawstring Waist Track Shorts,SHEIN EZwear Plus Drawstring Waist Track Shorts
,<NA>,<NA>,,,,,100+ sold recently,SHEIN Essnce Plus Size Women's Summer Zipper Half Placket Short Sleeve Dress With Pockets,SHEIN Essnce Plus Size Women's Summer Zipper Half Placket Short Sleeve Dress With Pockets
11.0,<NA>,<NA>,#3 Best Seller,In Black Plus Size Dresses,,,,SHEIN EZwear Plus Size Solid Color Dress With Bust Shirring And Hip Hugging Design,SHEIN EZwear Plus Size Solid Color Dress With Bust Shirring And Hip Hugging Design
,<NA>,<NA>,#1 Best Sellers,in Plus Size Tankinis,,,,SHEIN Swim Lushore Summer Beach Plus Striped & Tropical Print Bikini Swimsuit,SHEIN Swim Lushore Summer Beach Plus Striped & Tropical Print Bikini Swimsuit
15.0,<NA>,<NA>,,,,,4.3k+ sold recently,SHEIN LUNE Plus Size Women's Floral Print Notched Collar Shirt With Cutout Design,SHEIN LUNE Plus Size Women's Floral Print Notched Collar Shirt With Cutout Design
,<NA>,<NA>,,,,,1.0k+ sold recently,SHEIN VCAY Plus Size Summer Casual Tie Waist Strap Sundress,SHEIN VCAY Plus Size Summer Casual Tie Waist Strap Sundress
